,Unnamed: 0,real,img,nr_result_x,nr_result_y,tag,color,x,y
219,219,-2.878787878787879,-1.8484848484848484,-3.2367,-3.3422,3,"(67, 147, 195)",2,19
220,220,-2.878787878787879,-1.7878787878787878,-3.2367,-3.3422,3,"(67, 147, 195)",2,20
221,221,-2.878787878787879,-1.7272727272727273,-3.2367,-3.3422,3,"(67, 147, 195)",2,21
222,222,-2.878787878787879,-1.6666666666666663,-3.2367,-3.3422,3,"(67, 147, 195)",2,22
223,223,-2.878787878787879,-1.606060606060606,-3.2367,-3.3422,3,"(67, 147, 195)",2,23
224,224,-2.878787878787879,-1.5454545454545454,-3.2367,-3.3422,3,"(67, 147, 195)",2,24
225,225,-2.878787878787879,-1.4848484848484849,-3.2367,-3.3422,3,"(67, 147, 195)",2,25
226,226,-2.878787878787879,-1.4242424242424243,-3.2367,-3.3422,3,"(67, 147, 195)",2,26
227,227,-2.878787878787879,-1.3636363636363635,-3.2367,-3.3422,3,"(67, 147, 195)",2,27
228,228,-2.878787878787879,-1.303030303030303,-3.2367,-3.3422,3,"(67, 147, 195)",2,28
229,229,-2.878787878787879,-1.2424242424242424,-3.2367,-3.3422,3,"(67, 147, 195)",2,29
230,230,-2.878787878787879,-1.1818181818181817,-3.2367,-3.3422,3,"(67, 147, 195)",2,30
231,231,-2.878787878787879,-1.121212121212121,-3.2367,3.3422,1,"(253, 219, 199)",2,31
232,232,-2.878787878787879,-1.0606060606060606,-3.2367,3.3422,1,"(253, 219, 199)",2,32
233,233,-2.878787878787879,-1.0,3.1653,-3.3425,0,"(214, 96, 77)",2,33
234,234,-2.878787878787879,-0.9393939393939394,3.1653,-3.3425,0,"(214, 96, 77)",2,34
235,235,-2.878787878787879,-0.8787878787878789,-3.2367,-3.3422,3,"(67, 147, 195)",2,35
236,236,-2.878787878787879,-0.8181818181818183,-3.2367,-3.3422,3,"(67, 147, 195)",2,36
237,237,-2.878787878787879,-0.7575757575757573,-3.2367,3.3422,1,"(253, 219, 199)",2,37
238,238,-2.878787878787879,-0.6969696969696968,3.1653,-3.3425,0,"(214, 96, 77)",2,38
239,239,-2.878787878787879,-0.6363636363636362,3.1653,-3.3425,0,"(214, 96, 77)",2,39
240,240,-2.878787878787879,-0.5757575757575757,3.1653,-3.3425,0,"(214, 96, 77)",2,40
241,241,-2.878787878787879,-0.5151515151515151,3.1653,-3.3425,0,"(214, 96, 77)",2,41
242,242,-2.878787878787879,-0.4545454545454546,3.1653,-3.3425,0,"(214, 96, 77)",2,42
243,243,-2.878787878787879,-0.393939393939394,3.1653,-3.3425,0,"(214, 96, 77)",2,43
244,244,-2.878787878787879,-0.333333333333333,3.1653,-3.3425,0,"(214, 96, 77)",2,44
245,245,-2.878787878787879,-0.2727272727272725,3.1653,-3.3425,0,"(214, 96, 77)",2,45
246,246,-2.878787878787879,-0.2121212121212119,-3.2367,3.3422,1,"(253, 219, 199)",2,46
247,247,-2.878787878787879,-0.1515151515151513,-3.2367,-3.3422,3,"(67, 147, 195)",2,47
248,248,-2.878787878787879,-0.0909090909090908,-3.2367,-3.3422,3,"(67, 147, 195)",2,48
249,249,-2.878787878787879,-0.0303030303030302,-3.2367,-3.3422,3,"(67, 147, 195)",2,49
250,250,-2.878787878787879,0.0303030303030302,-3.2367,3.3422,1,"(253, 219, 199)",2,50
251,251,-2.878787878787879,0.0909090909090908,-3.2367,3.3422,1,"(253, 219, 199)",2,51
252,252,-2.878787878787879,0.1515151515151513,-3.2367,3.3422,1,"(253, 219, 199)",2,52
253,253,-2.878787878787879,0.2121212121212123,-3.2367,-3.3422,3,"(67, 147, 195)",2,53
254,254,-2.878787878787879,0.2727272727272729,3.1653,3.3425,2,"(209, 229, 240)",2,54
255,255,-2.878787878787879,0.3333333333333335,3.1653,3.3425,2,"(209, 229, 240)",2,55
256,256,-2.878787878787879,0.393939393939394,3.1653,3.3425,2,"(209, 229, 240)",2,56
257,257,-2.878787878787879,0.4545454545454546,3.1653,3.3425,2,"(209, 229, 240)",2,57
258,258,-2.878787878787879,0.5151515151515151,3.1653,3.3425,2,"(209, 229, 240)",2,58
259,259,-2.878787878787879,0.5757575757575757,3.1653,3.3425,2,"(209, 229, 240)",2,59
260,260,-2.878787878787879,0.6363636363636367,3.1653,3.3425,2,"(209, 229, 240)",2,60
261,261,-2.878787878787879,0.6969696969696972,3.1653,3.3425,2,"(209, 229, 240)",2,61
262,262,-2.878787878787879,0.7575757575757578,-3.2367,-3.3422,3,"(67, 147, 195)",2,62
263,263,-2.878787878787879,0.8181818181818183,-3.2367,3.3422,1,"(253, 219, 199)",2,63
264,264,-2.878787878787879,0.8787878787878789,-3.2367,3.3422,1,"(253, 219, 199)",2,64
265,265,-2.878787878787879,0.9393939393939394,3.1653,3.3425,2,"(209, 229, 240)",2,65
266,266,-2.878787878787879,1.0,3.1653,3.3425,2,"(209, 229, 240)",2,66
267,267,-2.878787878787879,1.0606060606060606,-3.2367,-3.3422,3,"(67, 147, 195)",2,67
